Date,StockCode,Description,Demand,AveragePrice_INR
2010-04-10,10002,INFLATABLE POLITICAL GLOBE,24,85.0
2010-04-11,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-04-12,10002,INFLATABLE POLITICAL GLOBE,0,139.0
2010-05-01,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-05-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-05-03,10002,INFLATABLE POLITICAL GLOBE,0,107.6666667
2010-05-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-05-05,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-05-06,10002,INFLATABLE POLITICAL GLOBE,0,166.0
2010-05-07,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-05-08,10002,INFLATABLE POLITICAL GLOBE,227,80.66666667
2010-05-09,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-05-10,10002,INFLATABLE POLITICAL GLOBE,24,85.0
2010-05-11,10002,INFLATABLE POLITICAL GLOBE,36,85.0
2010-05-12,10002,INFLATABLE POLITICAL GLOBE,2,85.0
2010-06-01,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-06-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-06-03,10002,INFLATABLE POLITICAL GLOBE,0,107.6666667
2010-06-04,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-06-05,10002,INFLATABLE POLITICAL GLOBE,90,85.0
2010-06-06,10002,INFLATABLE POLITICAL GLOBE,0,166.0
2010-06-07,10002,INFLATABLE POLITICAL GLOBE,2,166.0
2010-06-08,10002,INFLATABLE POLITICAL GLOBE,1,166.0
2010-06-09,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-06-10,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-06-11,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-06-12,10002,INFLATABLE POLITICAL GLOBE,50,125.5
2010-07-01,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-07-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-07-03,10002,INFLATABLE POLITICAL GLOBE,3,85.0
2010-07-04,10002,INFLATABLE POLITICAL GLOBE,30,72.0
2010-07-05,10002,INFLATABLE POLITICAL GLOBE,24,72.0
2010-07-06,10002,INFLATABLE POLITICAL GLOBE,18,85.0
2010-07-07,10002,INFLATABLE POLITICAL GLOBE,25,125.5
2010-07-08,10002,INFLATABLE POLITICAL GLOBE,0,166.0
2010-07-09,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-07-10,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-07-11,10002,INFLATABLE POLITICAL GLOBE,85,85.0
2010-07-12,10002,INFLATABLE POLITICAL GLOBE,16,166.0
2010-08-01,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-08-02,10002,INFLATABLE POLITICAL GLOBE,1,85.0
2010-08-03,10002,INFLATABLE POLITICAL GLOBE,16,125.5
2010-08-04,10002,INFLATABLE POLITICAL GLOBE,405,78.5
2010-08-05,10002,INFLATABLE POLITICAL GLOBE,0,72.0
2010-08-06,10002,INFLATABLE POLITICAL GLOBE,10,166.0
2010-08-07,10002,INFLATABLE POLITICAL GLOBE,0,125.5
2010-08-08,10002,INFLATABLE POLITICAL GLOBE,8,85.0
2010-08-09,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-08-10,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-08-11,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-08-12,10002,INFLATABLE POLITICAL GLOBE,26,125.5
2010-09-01,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-09-02,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-09-03,10002,INFLATABLE POLITICAL GLOBE,0,125.5
2010-09-04,10002,INFLATABLE POLITICAL GLOBE,300,72.0
2010-09-05,10002,INFLATABLE POLITICAL GLOBE,0,72.0
2010-09-06,10002,INFLATABLE POLITICAL GLOBE,65,85.0
2010-09-07,10002,INFLATABLE POLITICAL GLOBE,102,139.0
2010-09-08,10002,INFLATABLE POLITICAL GLOBE,27,85.0
2010-09-09,10002,INFLATABLE POLITICAL GLOBE,6,85.0
2010-09-10,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-09-11,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-09-12,10002,INFLATABLE POLITICAL GLOBE,88,101.2
2010-10-01,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-10-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-10-03,10002,INFLATABLE POLITICAL GLOBE,0,125.5
2010-10-04,10002,INFLATABLE POLITICAL GLOBE,0,72.0
2010-10-05,10002,INFLATABLE POLITICAL GLOBE,0,72.0
2010-10-06,10002,INFLATABLE POLITICAL GLOBE,1,85.0
2010-10-07,10002,INFLATABLE POLITICAL GLOBE,0,139.0
2010-10-08,10002,INFLATABLE POLITICAL GLOBE,13,125.5
2010-10-09,10002,INFLATABLE POLITICAL GLOBE,25,85.0
2010-10-10,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-10-11,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-10-12,10002,INFLATABLE POLITICAL GLOBE,48,85.0
2010-11-01,10002,INFLATABLE POLITICAL GLOBE,48,85.0
2010-11-02,10002,INFLATABLE POLITICAL GLOBE,30,85.0
2010-11-03,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-11-04,10002,INFLATABLE POLITICAL GLOBE,0,72.0
2010-11-05,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-11-06,10002,INFLATABLE POLITICAL GLOBE,34,78.5
2010-11-07,10002,INFLATABLE POLITICAL GLOBE,0,139.0
2010-11-08,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-11-09,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-11-10,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-11-11,10002,INFLATABLE POLITICAL GLOBE,4,85.0
2010-11-12,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-12-01,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-12-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-12-03,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-12-04,10002,INFLATABLE POLITICAL GLOBE,0,72.0
2010-12-05,10002,INFLATABLE POLITICAL GLOBE,40,166.0
2010-12-06,10002,INFLATABLE POLITICAL GLOBE,0,78.5
2010-12-07,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-12-08,10002,INFLATABLE POLITICAL GLOBE,1,166.0
2010-12-09,10002,INFLATABLE POLITICAL GLOBE,1,85.0
2010-12-10,10002,INFLATABLE POLITICAL GLOBE,400,72.0
2010-12-11,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-12-12,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-01-01,10002,INFLATABLE POLITICAL GLOBE,0,166.0
2011-01-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-01-03,10002,INFLATABLE POLITICAL GLOBE,2,163.0
2011-01-04,10002,INFLATABLE POLITICAL GLOBE,120,85.0
2011-02-01,10002,INFLATABLE POLITICAL GLOBE,0,166.0
2011-02-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-02-03,10002,INFLATABLE POLITICAL GLOBE,0,163.0
2011-02-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-03-01,10002,INFLATABLE POLITICAL GLOBE,0,166.0
2011-03-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-03-03,10002,INFLATABLE POLITICAL GLOBE,0,163.0
2011-03-04,10002,INFLATABLE POLITICAL GLOBE,6,85.0
2011-04-01,10002,INFLATABLE POLITICAL GLOBE,0,166.0
2011-04-02,10002,INFLATABLE POLITICAL GLOBE,1,85.0
2011-04-03,10002,INFLATABLE POLITICAL GLOBE,2,85.0
2011-04-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-05-01,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2011-05-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-05-03,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-05-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-06-01,10002,INFLATABLE POLITICAL GLOBE,60,85.0
2011-06-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-06-03,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-06-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-07-01,10002,INFLATABLE POLITICAL GLOBE,1,166.0
2011-07-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-07-03,10002,INFLATABLE POLITICAL GLOBE,2,163.0
2011-07-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-08-01,10002,INFLATABLE POLITICAL GLOBE,0,166.0
2011-08-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-08-03,10002,INFLATABLE POLITICAL GLOBE,0,163.0
2011-08-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-09-01,10002,INFLATABLE POLITICAL GLOBE,0,166.0
2011-09-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-09-03,10002,INFLATABLE POLITICAL GLOBE,0,163.0
2011-09-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-10-01,10002,INFLATABLE POLITICAL GLOBE,0,166.0
2011-10-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-10-03,10002,INFLATABLE POLITICAL GLOBE,0,163.0
2011-10-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-11-01,10002,INFLATABLE POLITICAL GLOBE,24,85.0
2011-11-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-11-03,10002,INFLATABLE POLITICAL GLOBE,0,163.0
2011-11-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-12-01,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-12-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2011-12-03,10002,INFLATABLE POLITICAL GLOBE,0,163.0
2011-12-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2009-01-12,10133,COLOURING PENCILS BROWN TUBE,6,85.0
2009-02-12,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2009-03-12,10133,COLOURING PENCILS BROWN TUBE,40,85.0
2009-04-12,10133,COLOURING PENCILS BROWN TUBE,25,127.5
2009-05-12,10133,COLOURING PENCILS BROWN TUBE,10,85.0
2009-06-12,10133,COLOURING PENCILS BROWN TUBE,4,85.0
2009-07-12,10133,COLOURING PENCILS BROWN TUBE,16,85.0
2009-08-12,10133,COLOURING PENCILS BROWN TUBE,20,85.0
2009-09-12,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2009-10-12,10133,COLOURING PENCILS BROWN TUBE,10,85.0
2009-11-12,10133,COLOURING PENCILS BROWN TUBE,2,85.0
2009-12-12,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-01-01,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-01-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-01-03,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-01-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-01-05,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-01-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-01-07,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-01-08,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-01-09,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-01-10,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-01-11,10133,COLOURING PENCILS BROWN TUBE,1,166.0
2010-01-12,10133,COLOURING PENCILS BROWN TUBE,10,85.0
2010-02-01,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-02-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-02-03,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-02-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-02-05,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-02-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-02-07,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-02-08,10133,COLOURING PENCILS BROWN TUBE,4,85.0
2010-02-09,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-02-10,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-02-11,10133,COLOURING PENCILS BROWN TUBE,20,85.0
2010-02-12,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-03-01,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-03-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-03-03,10133,COLOURING PENCILS BROWN TUBE,5,85.0
2010-03-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-03-05,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-03-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-03-07,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-03-08,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-03-09,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-03-10,10133,COLOURING PENCILS BROWN TUBE,2,85.0
2010-03-11,10133,COLOURING PENCILS BROWN TUBE,6,85.0
2010-03-12,10133,COLOURING PENCILS BROWN TUBE,2,166.0
2010-04-01,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-04-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-04-03,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-04-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-04-05,10133,COLOURING PENCILS BROWN TUBE,6,166.0
2010-04-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-04-07,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-04-08,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-04-09,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-04-10,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-04-11,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-04-12,10133,COLOURING PENCILS BROWN TUBE,0,166.0
2010-05-01,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-05-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-05-03,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-05-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-05-05,10133,COLOURING PENCILS BROWN TUBE,0,166.0
2010-05-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-05-07,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-05-08,10133,COLOURING PENCILS BROWN TUBE,10,85.0
2010-05-09,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-05-10,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-05-11,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-05-12,10133,COLOURING PENCILS BROWN TUBE,28,85.0
2010-06-01,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-06-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-06-03,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-06-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-06-05,10133,COLOURING PENCILS BROWN TUBE,0,166.0
2010-06-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-06-07,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-06-08,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-06-09,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-06-10,10133,COLOURING PENCILS BROWN TUBE,50,85.0
2010-06-11,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-06-12,10133,COLOURING PENCILS BROWN TUBE,4,85.0
2010-07-01,10133,COLOURING PENCILS BROWN TUBE,150,72.0
2010-07-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-07-03,10133,COLOURING PENCILS BROWN TUBE,1,85.0
2010-07-04,10133,COLOURING PENCILS BROWN TUBE,10,85.0
2010-07-05,10133,COLOURING PENCILS BROWN TUBE,0,166.0
2010-07-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-07-07,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-07-08,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-07-09,10133,COLOURING PENCILS BROWN TUBE,2,166.0
2010-07-10,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-07-11,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-07-12,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-08-01,10133,COLOURING PENCILS BROWN TUBE,0,72.0
2010-08-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-08-03,10133,COLOURING PENCILS BROWN TUBE,15,125.5
2010-08-04,10133,COLOURING PENCILS BROWN TUBE,10,85.0
2010-08-05,10133,COLOURING PENCILS BROWN TUBE,0,166.0
2010-08-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-08-07,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-08-08,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-08-09,10133,COLOURING PENCILS BROWN TUBE,0,166.0
2010-08-10,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-08-11,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-08-12,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-09-01,10133,COLOURING PENCILS BROWN TUBE,0,72.0
2010-09-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-09-03,10133,COLOURING PENCILS BROWN TUBE,0,125.5
2010-09-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-09-05,10133,COLOURING PENCILS BROWN TUBE,0,166.0
2010-09-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-09-07,10133,COLOURING PENCILS BROWN TUBE,20,85.0
2010-09-08,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-09-09,10133,COLOURING PENCILS BROWN TUBE,10,85.0
2010-09-10,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-09-11,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-09-12,10133,COLOURING PENCILS BROWN TUBE,24,85.0
2010-10-01,10133,COLOURING PENCILS BROWN TUBE,0,72.0
2010-10-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-10-03,10133,COLOURING PENCILS BROWN TUBE,1,166.0
2010-10-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-10-05,10133,COLOURING PENCILS BROWN TUBE,30,85.0
2010-10-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-10-07,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-10-08,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-10-09,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-10-10,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-10-11,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-10-12,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-11-01,10133,COLOURING PENCILS BROWN TUBE,0,72.0
2010-11-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-11-03,10133,COLOURING PENCILS BROWN TUBE,0,166.0
2010-11-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-11-05,10133,COLOURING PENCILS BROWN TUBE,20,85.0
2010-11-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-11-07,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-11-08,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-11-09,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-11-10,10133,COLOURING PENCILS BROWN TUBE,3,85.0
2010-11-11,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-11-12,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-12-01,10133,COLOURING PENCILS BROWN TUBE,0,72.0
2010-12-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-12-03,10133,COLOURING PENCILS BROWN TUBE,0,166.0
2010-12-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-12-05,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-12-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-12-07,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-12-08,10133,COLOURING PENCILS BROWN TUBE,20,85.0
2010-12-09,10133,COLOURING PENCILS BROWN TUBE,3,85.0
2010-12-10,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-12-11,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2010-12-12,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-01-01,10133,COLOURING PENCILS BROWN TUBE,0,83.0
2011-01-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-01-03,10133,COLOURING PENCILS BROWN TUBE,30,85.0
2011-01-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-01-05,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-01-06,10133,COLOURING PENCILS BROWN TUBE,1,163.0
2011-01-07,10133,COLOURING PENCILS BROWN TUBE,34,42.0
2011-01-08,10133,COLOURING PENCILS BROWN TUBE,15,83.0
2011-01-09,10133,COLOURING PENCILS BROWN TUBE,163,42.0
2011-02-01,10133,COLOURING PENCILS BROWN TUBE,0,83.0
2011-02-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-02-03,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-02-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-02-05,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-02-06,10133,COLOURING PENCILS BROWN TUBE,10,85.0
2011-02-07,10133,COLOURING PENCILS BROWN TUBE,0,42.0
2011-02-08,10133,COLOURING PENCILS BROWN TUBE,1,83.0
2011-02-09,10133,COLOURING PENCILS BROWN TUBE,14,72.75
2011-03-01,10133,COLOURING PENCILS BROWN TUBE,0,83.0
2011-03-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-03-03,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-03-04,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-03-05,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-03-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-03-07,10133,COLOURING PENCILS BROWN TUBE,0,42.0
2011-03-08,10133,COLOURING PENCILS BROWN TUBE,43,62.5
2011-03-09,10133,COLOURING PENCILS BROWN TUBE,0,72.75
2011-04-01,10133,COLOURING PENCILS BROWN TUBE,1,81.0
2011-04-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-04-03,10133,COLOURING PENCILS BROWN TUBE,21,85.0
2011-04-04,10133,COLOURING PENCILS BROWN TUBE,1,163.0
2011-04-05,10133,COLOURING PENCILS BROWN TUBE,10,85.0
2011-04-06,10133,COLOURING PENCILS BROWN TUBE,0,85.0
2011-04-07,10133,COLOURING PENCILS BROWN TUBE,47,62.5
2011-04-08,10133,COLOURING PENCILS BROWN TUBE,61,55.66666667
2011-04-09,10133,COLOURING PENCILS BROWN TUBE,0,72.75
2011-05-01,10133,COLOURING PENCILS BROWN TUBE,1,81.0
2011-05-02,10133,COLOURING PENCILS BROWN TUBE,0,85.0
